foodcode,foodgroup
205018,salt_pre
205019,salt_pre
205020,salt_pre
205021,salt_pre
205022,salt_pre
205023,salt_pre
205024,salt_pre
205025,salt_pre
205026,salt_pre
205027,salt_pre
205028,salt_pre
205029,salt_pre
205030,salt_pre
205031,salt_pre
205032,salt_pre
205033,salt_pre
205034,salt_pre
205035,salt_pre
206001,
206002,
206003,
206004,
206005,
206006,
206007,
206008,
206009,
206010,
207101,
207102,
207103,
207201,
207301,
207302,
211001,
211002,
211003,
211004,
211005,
211006,
211007,
211008,
211009,
211010,
211011,
211012,
211013,
211014,
211015,
211016,
211017,
211018,
211019,
211020,
211021,
211022,
211023,
211024,
211025,
211026,
211027,
211028,
211029,
211030,
211031,
211032,
211033,
219001,
219002,
219003,
219004,
219005,
219006,
219007,
219008,
219009,
219010,
219011,
219012,
219013,
